"id","title","article_authors","cohort","year","arquivo","areas_pesquisa","metodologia","metricas_mencionadas","metodos_estatisticos","venue","venue_type","citations","num_referencias","n_references","alignment_score","alignment_nivel","temas_ementa","qtd_temas_ementa","max_score_relevancia","max_percentual_match","relacao_disciplina_proxy","alinhado_plano_proxy","replicabilidade_proxy","natureza_artigo_proxy","nivel_aluno_proxy","qualidade_proxy","prestige_score","pagerank_centrality","community_id","rubric_score","arqi_equal","arqi_pca","arqi_no_prestige","replicavel","pratico_teorico","nivel_aluno","agregou","relacao_disciplina","alinhado_plano","artigos_relacionados","sobreposicao_tematica_qtd","evidencias_extraidas","pendencias"
"53","Software Metrics Classification for Agile Scrum Process: A Literature Review","","","","Software_Metrics_Classification_for_Agile_Scrum_Process_A_Literature_Review.pdf","Métricas de Software; Métodos Ágeis; Gerenciamento de Projetos; Produtividade","Proposta de Framework","Story Points","Precisão/Recall/F1","","","","29","29","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","1-parcial","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","43:Quality Metrics in Agile Software Development Projects; 39:Metrics in Large-Scale Agile Software Development: A; 19:Adjustment Level Metrics for Requirements in Project Management; 49:Microsoft Word - Software Process Measurement and Related Challenges i; 41:On the Relationship Between Story Points and Development Effort in Agi","6","Software Metrics Classification for Agile Scrum Process: A Literature Review Reni Kurnia1, Ridi Ferdiana2, Sunu Wibirama3 Department of Electrical Engineering and Information Technology123 Universitas Gadjah Mada Yogyakarta, Indonesia reni.kurnia@mail.ugm.ac.id1, ridi@ugm.ac.id2, sunu@ugm.ac.id3 Abstract—Software metrics play an imp","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"54","Source Code Metrics for Software Defects Prediction","Dominik Arne Rebro, Bruno Rossi, and Stanislav Chren","","2023","Source Code Metrics for Software Defects Prediction.pdf","Métricas de Software; Qualidade de Software; Predição de Defeitos","Estudo Empírico; Machine Learning; Replicação; Mineração de Repositórios","LOC/SLOC; Complexidade Ciclomática; Complexidade Cognitiva; Code Churn; Coupling/Acoplamento; Cohesion/Coesão; WMC; DIT; NOC; RFC; CK Metrics","Mann-Whitney; ANOVA; Kruskal-Wallis; Regressão Linear; Regressão Logística; Bayesiana; Descritiva; Box Plot; Random Forest; K-fold/Cross-validation; ROC/AUC; Precisão/Recall/F1","","conference","","30","30","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","2-alta","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","13:A machine learning approach to vulnerability detection combining softw; 42:Process metrics for software defect prediction in object‐oriented prog; 64:Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and E; 44:Quality of AI-Generated vs. Human-Generated Code","4","Source Code Metrics for Software Defects Prediction Dominik Arne Rebro Masaryk University Brno, Czech Republic domco28@mail.muni.cz Bruno Rossi Masaryk University Brno, Czech Republic brossi@mail.muni.cz Stanislav Chren Masaryk University Brno, Czech Republic chren@mail.muni.cz ABSTRACT In current research, there are contrasting results about the a","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"55","THE GOAL QUESTION METRIC APPROACH","","","","THE GOAL QUESTION METRIC APPROACH.pdf","Qualidade de Software; Processo de Software; Produtividade","Estudo de Caso; Proposta de Framework; GQM","LOC/SLOC; Defect Density","Precisão/Recall/F1","","","","0","0","","medio","Métricas de processo; Processo de experimentação","2","2","40.0","indireta","sim","0-nao_detectada","teorico_propositivo","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","29:Experimentation in Software Engineering","1","1 THE GOAL QUESTION METRIC APPROACH Victor R. Basili1 Gianluigi Caldiera1 H. Dieter Rombach2 (1) Institute for Advanced Computer Studies Department of Computer Science University Of Maryland College Park, Maryland (2) FB Informatik Universität Kaiserslautern Kaiserslautern, Germany 1. INTRODUCTION As with any engineering discipline, softwar","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"56","Techniques for Calculating Software Product Metrics Threshold Values: A Systematic Mapping Study","Alok Mishra, Raed Shatnawi, Cagatay Catal and Akhan Akbulut","","2021","Techniques for Calculating Software Product Metrics Threshold Values A Systematic Mapping Study.pdf","Métricas de Software; Qualidade de Software","Mapeamento Sistemático","CK Metrics","Regressão Logística; Descritiva; ROC/AUC","","journal","","200","200","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","1-parcial","pratico_empirico","intermediario","alta_proxy_local","","","","","","","","","","","","","","50:Software Product Quality Metrics: A Systematic Mapping Study","1","applied sciences Article Techniques for Calculating Software Product Metrics Threshold Values: A Systematic Mapping Study Alok Mishra 1,2,* , Raed Shatnawi 3 , Cagatay Catal 4 and Akhan Akbulut 5   Citation: Mishra, A.; Shatnawi, R.; Catal, C.; Akbulut, A. Techniques for Calculating Software Product Metrics Threshold Values: A Sys","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"57","The Experimental Paradigm in Software Engeneering","","","","The Experimental Paradigm in Software Engeneering.pdf","Engenharia de Software (Geral)","","","","","","","0","0","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","0-nao_detectada","nao_classificado","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","23:An´alise da Eficiˆencia do Uso de Recursos de M´aquina na; 60:The role of measurement uncertainty in the validation of a measurement","2","","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"58","eveloper productivity is complex and nuanced,","","","2021","The Space of Developer Productivity There's more to it than you think.pdf","Revisão de Código; Produtividade","","","Precisão/Recall/F1","","","","150","150","","baixo","","0","0","0.0","nao_detectada","baixo","2-alta","misto","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","","0","productivity D eveloper productivity is complex and nuanced, with important implications for software development teams. A clear understanding of defining, measuring, and predicting developer productivity could provide organizations, managers, and developers with the ability to make higher- quality software—and make it more efficiently. Devel","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"59","The effects of change decomposition on code review-a controlled experiment","Marco di Biase","","2019","The effects of change decomposition on code review --a controlled experiment.pdf","Qualidade de Software; Manutenção de Software; Experimentação; Segurança de Software; Revisão de Código","Experimento Controlado; Replicação","","Teste t; Effect Size; Descritiva; Box Plot","","","","132","132","","medio","Planejamento de experimento; Execução de experimento; Nivelamento e revisão de fundamentos de engenharia de software; Estratégias de experimentação; Processo de experimentação; Análise de resultados de experimentos","8","3","60.0","direta","sim","2-alta","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","21:An External Replication on the Effects of Test-driven; 38:Metrics for Evaluating and Improving Transparency in Software Engineer","2","The effects of change decomposition on code review—a controlled experiment Marco di Biase1,2, Magiel Bruntink2, Arie van Deursen1 and Alberto Bacchelli3 1 Delft University of Technology, Delft, The Netherlands 2 Software Improvement Group, Amsterdam, The Netherlands 3 University of Zurich, Zurich, Switzerland ABSTRACT Background: Code review is a c","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"60","The role of measurement uncertainty in the validation of a measurement procedure","Fernando C. Raposo","","2024","The role of measurement uncertainty in the validation of a measurement procedure.pdf","Engenharia de Software (Geral)","","","Precisão/Recall/F1","","book","","11","11","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","2-alta","teorico_propositivo","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","34:Undertaking systematic reviews; 57:The Experimental Paradigm in Software Engeneering; 15:ADmM: Anomaly Detection for Microservice Systems with Incomplete Metri","3","Vol.:(0123456789) Accreditation and Quality Assurance (2024) 29:267 https://doi.org/10.1007/s00769-024-01593-y CORRESPONDENCE The role of measurement uncertainty in the validation of a measurement procedure Fernando C. Raposo1 · Michael H. Ramsey2 Received: 8 January 2024 / Accepted: 26 March 2024 / Published online: 13 April 2024 © The Autho","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"61","Proceedings Template - WORD","End User Computing Services","","2019","Top Challenges from the first Practical Online Controlled Experiments Summit.pdf","Experimentação","Experimento Controlado; Survey/Questionário","","Teste t; Regressão Linear; Regressão Logística; Bayesiana; Random Forest","","","","77","77","","medio","Planejamento de experimento; Execução de experimento; Estratégias de experimentação; Processo de experimentação; Análise de resultados de experimentos; Apresentação de resultados experimentais","7","3","60.0","direta","sim","0-nao_detectada","pratico_empirico","avancado","alta_proxy_local","","","","","","","","","","","","","","","0","Appears in the June 2019 issue of SIGKDD Explorations Volume 21, Issue 1 https://bit.ly/OCESummit1 SIGKDD Explorations Volume 21, Issue 1 Page 20 Top Challenges from the first Practical Online Controlled Experiments Summit Somit Gupta (Microsoft)1, Ronny Kohavi (Microsoft) 2, Diane Tang (Google) 3, Ya Xu (LinkedIn) 4, Reid Andersen (Airbnb),","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"62","Towards Improving Experimentation in Software Engineering","Edson OliveiraJr, Viviane Furtado, Henrique Vignando, Carlos Luz, André Cordeiro, Igor Steinmacher, Avelino Zorzo","","2021","Towards Improving Experimentation in Software Engineering.pdf","Engenharia de Software Empírica; Experimentação","Experimento Controlado; Meta-análise; Replicação","","Teste t","","conference","","20","20","","alto","Planejamento de experimento; Execução de experimento; Análise de resultados de experimentos; Estratégias de experimentação; Processo de experimentação; Apresentação de resultados experimentais","18","4","80.0","direta","sim","2-alta","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","7:A Survey of Controlled Experiments; 29:Experimentation in Software Engineering","2","Towards Improving Experimentation in Software Engineering Edson OliveiraJr, Viviane Furtado, Henrique Vignando, Carlos Luz, André Cordeiro State University of Maringá (UEM) Maringá, PR, Brazil edson@din.uem.br {viviane.rfurtado,rickuev}@gmail.com carlos.danilo.luz@gmail.com cordeiroandrefelipe@gmail.com Igor Steinmacher Federal University of Techno","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"63","Unlocking inclusive education: A quality assessment of software design in applications for children with autism","Yussy Chinchay","","2019","Unlocking inclusive education A quality assessment of software design in applications for children with autism.pdf","Engenharia de Software (Geral)","Proposta de Framework","","Teste de Normalidade","","journal","","165","165","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","1-parcial","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","","0","Contents lists available at ScienceDirect The Journal of Systems & Software journal homepage: www.elsevier.com/locate/jss Unlocking inclusive education: A quality assessment of software design in applications for children with autism✩ Yussy Chinchay ∗, Javier Gomez, Germán Montoro Universidad Autónoma de Madrid, Ciudad Universitaria de Cantoblanco,","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"64","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models","Laura Diana Cernău; Laura Dioșan; Camelia Șerban;","","2025","Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Predição de Defeitos","","LOC/SLOC; Complexidade Ciclomática","Correlação de Pearson; Bayesiana; Random Forest; SVM; Precisão/Recall/F1","","preprint","","21","21","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","5:A Review and Analysis of Software Complexity Metrics in Structural Tes; 20:An Empirical Validation of Cognitive Complexity as a Measure of Source; 42:Process metrics for software defect prediction in object‐oriented prog; 44:Quality of AI-Generated vs. Human-Generated Code; 54:Source Code Metrics for Software Defects Prediction","5","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models Laura Diana Cernăua, Laura Dios,ana, Camelia S, erbana aBabes,-Bolyai University Faculty of Mathematics and Computer Science, Kogălniceanu, 1, 400084, Cluj, Romania Abstract The complex software systems develo","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"65","Web System for Metrics Control applying the GQM Method in a Software Development Center","Jesús Minero-Guardado","","2025","WEB_SYSTEM_FOR_METRICS_CONTROL_APPLYING_THE_GQM_ME.pdf","Métricas de Software; Qualidade de Software","Proposta de Framework; GQM","","","","","","12","12","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","1-parcial","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","18:A study of component based software system metrics","1","Revista Facultad de Ingeniería (Rev. Fac. Ing.) Vol. 34 No. 72. L-ISSN: 0121-1129, e-ISSN: 2357-5328. DOI: 10.19053/01211129.v34.n72.2025.19104 WEB SYSTEM FOR METRICS CONTROL APPLYING THE GQM METHOD IN A SOFTWARE DEVELOPMENT CENTER Sistema Web para el Control de Métricas a través del Método GQM en un Centro de Desarrollo de Software Jesús Minero-","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"66","What's DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time","Moritz Beller; Amanda Park; Karim Nakad; Akshay Patel; Sarita Mohanty; Ford Garberson; Ian G. Malone; Vaishali Garg; Henri Verroken; Andrew Kennedy; Pavel Avgustinov","","2026","Whats DAT Three Case Studies of Measuring Software.pdf","Experimentação; Produtividade","Experimento Controlado; Estudo de Caso","LOC/SLOC; Function Points; Velocity","Teste t; Effect Size; Descritiva; K-fold/Cross-validation","ICSE","preprint","","63","63","","medio","Planejamento de experimento; Execução de experimento; Estratégias de experimentação; Processo de experimentação; Análise de resultados de experimentos; Apresentação de resultados experimentais","7","3","60.0","direta","sim","1-parcial","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","38:Metrics for Evaluating and Improving Transparency in Software Engineer","1","What’s DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time Moritz Beller mmb@meta.com DevInfra, Meta Platforms, Inc. Menlo Park, USA Amanda Park DevInfra, Meta Platforms, Inc. Menlo Park, USA Karim Nakad DevInfra, Meta Platforms, Inc. Menlo Park, USA Akshay Patel DevInfra, Meta Platforms, Inc. Men","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
